Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,Asian,1.0,0.44,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged,0.88,0.318,perpetrator,negative
FINANCIAL_FRAUD,en,business owners,0.76,0.329,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults,0.68,0.382,perpetrator,neutral
FINANCIAL_FRAUD,en,female,0.56,0.268,perpetrator,negative
FINANCIAL_FRAUD,en,male,0.56,0.393,perpetrator,negative
FINANCIAL_FRAUD,en,Male,0.52,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,women,0.48,0.438,perpetrator,negative
FINANCIAL_FRAUD,en,financial professionals,0.44,0.318,perpetrator,negative
FINANCIAL_FRAUD,en,Women,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Chinese,0.32,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,investors,0.32,0.344,victim,neutral
FINANCIAL_FRAUD,en,FBI agents,0.28,0.25,expert,neutral
FINANCIAL_FRAUD,en,Chinese (inferred from surname Chen),0.24,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,accountants,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Asian (Chinese-American),0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Police,0.2,0.25,other,neutral
FINANCIAL_FRAUD,en,Detective,0.2,0.25,expert,neutral
FINANCIAL_FRAUD,en,retirees,0.2,0.55,victim,neutral
FINANCIAL_FRAUD,en,Investors,0.2,0.25,victim,neutral
FINANCIAL_FRAUD,en,small business owners,0.2,0.4,victim,neutral
FINANCIAL_FRAUD,en,Age 52,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Age 54,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,professionals,0.16,0.312,victim,neutral
FINANCIAL_FRAUD,en,Investors/clients,0.16,0.25,victim,neutral
FINANCIAL_FRAUD,en,Small business owners,0.16,0.25,victim,neutral
FINANCIAL_FRAUD,en,Female,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Middle-aged (47 years old),0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Asian (inferred from surname),0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Accountant,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,real estate developers,0.12,0.333,unspecified,neutral
FINANCIAL_FRAUD,en,Retirees,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,Asian (inferred from surname Chen),0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Springfield resident,0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Local business owner,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Business owner,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,authorities,0.12,0.25,hero,positive
FINANCIAL_FRAUD,en,Local business owners,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Asian-American,0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,university graduates,0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Middle-aged (47-year-old),0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,47-year-old,0.08,0.375,perpetrator,negative
FINANCIAL_FRAUD,en,Age 48,0.08,0.25,perpetrator,negative
