Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,Male,0.8,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged,0.6,0.3,perpetrator,negative
FINANCIAL_FRAUD,en,retirees,0.56,0.661,victim,neutral
FINANCIAL_FRAUD,en,men,0.56,0.339,perpetrator,negative
FINANCIAL_FRAUD,en,Retirees,0.52,0.25,victim,negative
FINANCIAL_FRAUD,en,financial advisors,0.44,0.318,perpetrator,negative
FINANCIAL_FRAUD,en,male,0.44,0.295,perpetrator,negative
FINANCIAL_FRAUD,en,Age 47,0.4,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged men,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults,0.32,0.312,perpetrator,neutral
FINANCIAL_FRAUD,en,Financial advisor,0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,FBI agents,0.28,0.25,expert,neutral
FINANCIAL_FRAUD,en,Clients/investors,0.24,0.25,victim,negative
FINANCIAL_FRAUD,en,victims,0.24,0.25,victim,neutral
FINANCIAL_FRAUD,en,Prosecutors,0.24,0.25,other,neutral
FINANCIAL_FRAUD,en,financial professionals,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,small business owners,0.2,0.5,victim,neutral
FINANCIAL_FRAUD,en,Small business owners,0.2,0.25,victim,negative
FINANCIAL_FRAUD,en,elderly,0.2,0.35,victim,neutral
FINANCIAL_FRAUD,en,47-year-old,0.2,0.3,perpetrator,negative
FINANCIAL_FRAUD,en,Federal authorities,0.16,0.25,other,neutral
FINANCIAL_FRAUD,en,investors,0.16,0.375,victim,neutral
FINANCIAL_FRAUD,en,business professionals,0.16,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,FBI,0.12,0.25,expert,neutral
FINANCIAL_FRAUD,en,white-collar professionals,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,clients,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,authorities,0.12,0.25,expert,positive
FINANCIAL_FRAUD,en,financial consultants,0.12,0.25,perpetrator,negative
