Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,business owners,0.92,0.413,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults,0.84,0.381,perpetrator,negative
FINANCIAL_FRAUD,en,47-year-old,0.72,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged,0.6,0.3,perpetrator,negative
FINANCIAL_FRAUD,en,women,0.52,0.462,perpetrator,negative
FINANCIAL_FRAUD,en,local community members,0.44,0.295,bystander,neutral
FINANCIAL_FRAUD,en,female,0.4,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Local business owner,0.4,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Male,0.4,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,men,0.4,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,retirees,0.36,0.778,victim,neutral
FINANCIAL_FRAUD,en,philanthropists,0.32,0.438,perpetrator,negative
FINANCIAL_FRAUD,en,community leaders,0.32,0.281,perpetrator,negative
FINANCIAL_FRAUD,en,male,0.32,0.312,perpetrator,negative
FINANCIAL_FRAUD,en,investors,0.32,0.312,victim,neutral
FINANCIAL_FRAUD,en,victims,0.32,0.25,victim,neutral
FINANCIAL_FRAUD,en,Retirees,0.28,0.25,victim,negative
FINANCIAL_FRAUD,en,small business owners,0.28,0.357,victim,neutral
FINANCIAL_FRAUD,en,victims of fraud,0.24,0.25,victim,neutral
FINANCIAL_FRAUD,en,Women,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Neighbors,0.24,0.25,victim,neutral
FINANCIAL_FRAUD,en,white-collar criminals,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,neighbors,0.24,0.25,bystander,neutral
FINANCIAL_FRAUD,en,"Middleton, Ohio residents",0.24,0.25,other,neutral
FINANCIAL_FRAUD,en,authorities,0.24,0.25,hero,positive
FINANCIAL_FRAUD,en,Entrepreneur,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,business owner,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,elderly,0.2,0.6,victim,negative
FINANCIAL_FRAUD,en,Woman,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Business owners,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,entrepreneurs,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged men,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Small business community,0.16,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Prosecutors,0.16,0.25,role: other,neutral
FINANCIAL_FRAUD,en,Business owner,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,prosecutors,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,financial advisors,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,42-year-old,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Charity donors,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,university graduates,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Financial advisor,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Investors,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,Philanthropists/charity board members,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,Local authorities,0.12,0.25,other,neutral
FINANCIAL_FRAUD,en,Hispanic,0.12,0.25,expert,positive
FINANCIAL_FRAUD,en,Investors/clients,0.12,0.25,victim,positive
FINANCIAL_FRAUD,en,wealthy individuals,0.12,0.333,perpetrator,negative
FINANCIAL_FRAUD,en,clients,0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Chamber of Commerce board members,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Detective,0.08,0.25,expert,positive
FINANCIAL_FRAUD,en,State and federal authorities,0.08,0.25,role: other,sentiment: neutral
FINANCIAL_FRAUD,en,State Attorney,0.08,0.25,role: expert,sentiment: neutral
FINANCIAL_FRAUD,en,Law enforcement (state and federal authorities),0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Victims (fraud victims),0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,college graduates,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Elderly,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,legal professionals,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,white,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,college-educated individuals,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,philanthropist,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,county prosecutor,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,County prosecutor,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,financial professionals,0.08,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,elderly people,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,community philanthropists,0.08,0.25,other,negative
FINANCIAL_FRAUD,en,federal authorities,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,Family man,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Colleagues,0.08,0.25,bystander,neutral
FINANCIAL_FRAUD,en,police,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,Philanthropist,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Victims of fraud,0.08,0.25,victim,negative
FINANCIAL_FRAUD,en,Small business owners,0.08,0.25,victim,neutral
FINANCIAL_FRAUD,en,male (inferred),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,financial advisor,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,philanthropist (local philanthropic circles),0.04,0.25,perpetrator,mixed
FINANCIAL_FRAUD,en,community business seminar speakers,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,board members (Middleton Children's Hospital Foundation),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,state and federal authorities,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,State Attorney (government attorney),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,"Middleton, Ohio residents/neighbors",0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,clients (previous clients),0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,graduates of prestigious schools,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Local business owners,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Midtown residents,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,State University graduates,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Asian (implied by name Lisa Chen),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,charitable donors,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Elderly people,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,Police (law enforcement),0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,State Attorney General's office (government officials),0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,Chamber of Commerce members/board,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,"Middleton, Ohio residents (locals)",0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Community member (Middleton native),0.04,0.25,role: perpetrator,sentiment: neutral
FINANCIAL_FRAUD,en,former associates,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,youth sports teams,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,County prosecutor (profession),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Youth (youth sports leagues participants),0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,local residents,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Chamber of Commerce members,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,donors,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,youth,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,investigators,0.04,0.25,expert,positive
FINANCIAL_FRAUD,en,CEO/founder,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Police detective,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Victims,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Little league community,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Small business owner,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Financial consultant,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Police (Financial Crimes Unit),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Judge,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Attorney/Lawyer,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Acquaintances,0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,Former colleagues,0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,Upscale neighborhood residents (Laurel Heights),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Chinese (inferred from attorney name),0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,non-profit organizations,0.04,0.5,victim,negative
FINANCIAL_FRAUD,en,wealthy/affluent,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Female,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Middle-aged (42-year-old),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Non-profit organizations,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Law enforcement,0.04,0.25,hero,positive
FINANCIAL_FRAUD,en,Detectives,0.04,0.25,hero,positive
FINANCIAL_FRAUD,en,Attorneys/Lawyers,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Residents of an upscale neighborhood (Oakwood),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,People in charitable circles,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Board members (Chamber of Commerce),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Business school graduates,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Asian (inferred from name: David Chen),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Hispanic/Latina (inferred from name: Maria Flores),0.04,0.25,hero,positive
FINANCIAL_FRAUD,en,law enforcement,0.04,0.25,hero,positive
FINANCIAL_FRAUD,en,Asian,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,fraud victims,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,47-year-olds (middle-aged adults),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,"Local residents/community members (Middleton, OH)",0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Investors/clients (fraud victims),0.04,0.25,victim,positive
FINANCIAL_FRAUD,en,State and federal authorities (law enforcement),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Prosecutors/State Attorney,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,fraud perpetrators,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,community members,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,Christians/church community members,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Church community members,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,"Law enforcement (state and federal authorities, police detectives)",0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,woman,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,church community member,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,college graduate,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,convicted criminal,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,small business community members,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,bank manager,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,clients/investors,0.04,0.25,victim,neutral
FINANCIAL_FRAUD,en,youth soccer coach,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,churchgoers/Christians,0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,local authorities/law enforcement,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Christians,0.04,0.5,bystander,neutral
FINANCIAL_FRAUD,en,community college graduates,0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,working-class background (self-made),0.04,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Local authorities/law enforcement,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Forensic accountants,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,Community college graduates,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Youth (youth sports teams),0.04,0.25,bystander,neutral
FINANCIAL_FRAUD,en,affluent retirees,0.04,0.5,victim,neutral
FINANCIAL_FRAUD,en,Affluent retirees,0.04,0.25,victim,negative
FINANCIAL_FRAUD,en,County Prosecutor,0.04,0.25,expert,neutral
FINANCIAL_FRAUD,en,State Attorney General's Office,0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,FBI (Financial Crimes Unit),0.04,0.25,other,neutral
FINANCIAL_FRAUD,en,Middleton business community,0.04,0.25,other,neutral
