Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,middle-aged,0.88,0.261,perpetrator,negative
FINANCIAL_FRAUD,en,Male,0.84,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,investors,0.8,0.362,victim,neutral
FINANCIAL_FRAUD,en,Investors,0.76,0.263,victim,negative
FINANCIAL_FRAUD,en,retirees,0.6,0.65,victim,neutral
FINANCIAL_FRAUD,en,male,0.56,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Retirees,0.56,0.25,victim,negative
FINANCIAL_FRAUD,en,middle-aged men,0.52,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,U.S. Attorney,0.52,0.308,expert,neutral
FINANCIAL_FRAUD,en,Hispanic,0.48,0.25,expert,positive
FINANCIAL_FRAUD,en,men,0.48,0.271,perpetrator,negative
FINANCIAL_FRAUD,en,52-year-old,0.44,0.273,perpetrator,negative
FINANCIAL_FRAUD,en,real estate developers,0.44,0.432,perpetrator,negative
FINANCIAL_FRAUD,en,businessmen,0.4,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,FBI agents,0.36,0.278,hero,neutral
FINANCIAL_FRAUD,en,federal authorities,0.32,0.25,unspecified,positive
FINANCIAL_FRAUD,en,wealthy individuals,0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,women,0.28,0.321,perpetrator,negative
FINANCIAL_FRAUD,en,victims,0.28,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,elderly,0.28,0.321,victim,negative
FINANCIAL_FRAUD,en,Wall Street traders,0.28,0.357,perpetrator,neutral
FINANCIAL_FRAUD,en,Real estate developers,0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,FBI,0.28,0.286,expert,neutral
FINANCIAL_FRAUD,en,Real estate developer,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,authorities,0.24,0.25,hero,positive
FINANCIAL_FRAUD,en,female,0.24,0.292,perpetrator,negative
FINANCIAL_FRAUD,en,Age 52,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,businessman,0.24,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Federal authorities,0.24,0.25,other,neutral
FINANCIAL_FRAUD,en,middle-aged adults,0.24,0.25,perpetrator,negative
