Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment,top role CLEAN,top sentiment CLEAN,merged group
FINANCIAL_FRAUD,en,Asian,1.0,0.44,perpetrator,negative,perpetrator,negative,Asian
FINANCIAL_FRAUD,en,middle-aged,0.88,0.318,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,business owners,0.76,0.329,perpetrator,negative,perpetrator,negative,business owners
FINANCIAL_FRAUD,en,middle-aged adults,0.68,0.382,perpetrator,neutral,perpetrator,neutral,middle-aged
FINANCIAL_FRAUD,en,female,0.56,0.268,perpetrator,negative,perpetrator,negative,female/women
FINANCIAL_FRAUD,en,male,0.56,0.393,perpetrator,negative,perpetrator,negative,male/men
FINANCIAL_FRAUD,en,Male,0.52,0.25,perpetrator,negative,perpetrator,negative,male/men
FINANCIAL_FRAUD,en,women,0.48,0.438,perpetrator,negative,perpetrator,negative,female/women
FINANCIAL_FRAUD,en,financial professionals,0.44,0.318,perpetrator,negative,perpetrator,negative,financial professionals
FINANCIAL_FRAUD,en,Women,0.32,0.25,perpetrator,negative,perpetrator,negative,female/women
FINANCIAL_FRAUD,en,Chinese,0.32,0.25,unspecified,neutral,other,neutral,Chinese
FINANCIAL_FRAUD,en,investors,0.32,0.344,victim,neutral,victim,neutral,investors
FINANCIAL_FRAUD,en,FBI agents,0.28,0.25,expert,neutral,expert,neutral,fbi agents
FINANCIAL_FRAUD,en,Chinese (inferred from surname Chen),0.24,0.25,perpetrator,neutral,perpetrator,neutral,Chinese
FINANCIAL_FRAUD,en,accountants,0.24,0.25,perpetrator,negative,perpetrator,negative,accountants
FINANCIAL_FRAUD,en,Asian (Chinese-American),0.2,0.25,perpetrator,negative,perpetrator,negative,Chinese-American
FINANCIAL_FRAUD,en,Police,0.2,0.25,other,neutral,other,neutral,police
FINANCIAL_FRAUD,en,Detective,0.2,0.25,expert,neutral,expert,neutral,detective
FINANCIAL_FRAUD,en,retirees,0.2,0.55,victim,neutral,victim,neutral,retirees
FINANCIAL_FRAUD,en,Investors,0.2,0.25,victim,neutral,victim,neutral,investors
FINANCIAL_FRAUD,en,small business owners,0.2,0.4,victim,neutral,victim,neutral,small business owners
FINANCIAL_FRAUD,en,Age 52,0.2,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,Age 54,0.2,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,professionals,0.16,0.312,victim,neutral,victim,neutral,professionals
FINANCIAL_FRAUD,en,Investors/clients,0.16,0.25,victim,neutral,victim,neutral,investors/clients
FINANCIAL_FRAUD,en,Small business owners,0.16,0.25,victim,neutral,victim,neutral,small business owners
FINANCIAL_FRAUD,en,Female,0.16,0.25,perpetrator,negative,perpetrator,negative,female/women
FINANCIAL_FRAUD,en,Middle-aged (47 years old),0.16,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,Asian (inferred from surname),0.12,0.25,perpetrator,negative,perpetrator,negative,Asian
FINANCIAL_FRAUD,en,Accountant,0.12,0.25,perpetrator,negative,perpetrator,negative,accountant
FINANCIAL_FRAUD,en,real estate developers,0.12,0.333,unspecified,neutral,other,neutral,real estate developers
FINANCIAL_FRAUD,en,Retirees,0.12,0.25,victim,neutral,victim,neutral,retirees
FINANCIAL_FRAUD,en,Asian (inferred from surname Chen),0.12,0.25,perpetrator,neutral,perpetrator,neutral,Asian
FINANCIAL_FRAUD,en,Springfield resident,0.12,0.25,perpetrator,neutral,perpetrator,neutral,springfield resident
FINANCIAL_FRAUD,en,Local business owner,0.12,0.25,perpetrator,negative,perpetrator,negative,local business owner
FINANCIAL_FRAUD,en,Business owner,0.12,0.25,perpetrator,negative,perpetrator,negative,business owner
FINANCIAL_FRAUD,en,authorities,0.12,0.25,hero,positive,hero,positive,authorities
FINANCIAL_FRAUD,en,Local business owners,0.12,0.25,perpetrator,negative,perpetrator,negative,local business owners
FINANCIAL_FRAUD,en,Asian-American,0.12,0.25,perpetrator,neutral,perpetrator,neutral,Asian-American
FINANCIAL_FRAUD,en,university graduates,0.12,0.25,perpetrator,neutral,perpetrator,neutral,university graduates
FINANCIAL_FRAUD,en,Middle-aged (47-year-old),0.08,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,47-year-old,0.08,0.375,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,Age 48,0.08,0.25,perpetrator,negative,perpetrator,negative,middle-aged
FINANCIAL_FRAUD,en,Chinese (inferred from name Marcus Chen),0.08,0.25,perpetrator,neutral,perpetrator,neutral,Chinese
FINANCIAL_FRAUD,en,Real estate developer,0.08,0.25,perpetrator,negative,perpetrator,negative,real estate developer
FINANCIAL_FRAUD,en,federal authorities,0.08,0.25,expert,neutral,expert,neutral,federal authorities
FINANCIAL_FRAUD,en,Police / law enforcement,0.08,0.25,other,neutral,other,neutral,police / law enforcement
FINANCIAL_FRAUD,en,police,0.08,0.25,expert,neutral,expert,neutral,police
FINANCIAL_FRAUD,en,white-collar professionals,0.08,0.25,perpetrator,negative,perpetrator,negative,White
FINANCIAL_FRAUD,en,Clients (financial services customers),0.08,0.25,victim,negative,victim,negative,clients
FINANCIAL_FRAUD,en,law enforcement,0.08,0.25,hero,positive,hero,positive,law enforcement
FINANCIAL_FRAUD,en,men,0.08,0.375,unspecified,neutral,other,neutral,male/men
FINANCIAL_FRAUD,en,white,0.08,0.25,perpetrator,negative,perpetrator,negative,White
FINANCIAL_FRAUD,en,Accountants,0.08,0.25,perpetrator,negative,perpetrator,negative,accountants
FINANCIAL_FRAUD,en,Springfield residents,0.08,0.25,other,neutral,other,neutral,springfield residents
FINANCIAL_FRAUD,en,educated professionals,0.08,0.25,perpetrator,negative,perpetrator,negative,educated professionals
FINANCIAL_FRAUD,en,Asian (inferred),0.08,0.25,perpetrator,neutral,perpetrator,neutral,Asian
FINANCIAL_FRAUD,en,federal agents,0.08,0.25,expert,neutral,expert,neutral,federal agents
FINANCIAL_FRAUD,en,clients,0.08,0.25,victim,neutral,victim,neutral,clients
FINANCIAL_FRAUD,en,investors/retirees,0.08,0.25,victim,negative,victim,negative,investors/retirees
FINANCIAL_FRAUD,en,Clients/investors,0.08,0.25,victim,neutral,victim,neutral,clients/investors
FINANCIAL_FRAUD,en,University graduates,0.08,0.25,other,neutral,other,neutral,university graduates
FINANCIAL_FRAUD,en,Hispanic,0.08,0.25,hero,positive,hero,positive,Hispanic/Latino
FINANCIAL_FRAUD,en,Marcus Chen,0.08,0.25,perpetrator,negative,perpetrator,negative,marcus chen
FINANCIAL_FRAUD,en,philanthropists,0.08,0.375,other,neutral,other,neutral,philanthropists
FINANCIAL_FRAUD,en,FBI agents/law enforcement,0.08,0.25,expert,neutral,expert,neutral,fbi agents/law enforcement
FINANCIAL_FRAUD,en,Accountants / certified public accountants (profession),0.04,0.25,perpetrator,negative,perpetrator,negative,accountants / certified public accountants
FINANCIAL_FRAUD,en,Federal law enforcement (FBI agents),0.04,0.25,expert,positive,expert,positive,federal law enforcement
FINANCIAL_FRAUD,en,Clients / investors (people with life savings),0.04,0.25,victim,positive,victim,positive,clients / investors
FINANCIAL_FRAUD,en,Marcus Chen (Chinese/East Asian-sounding name; ethnicity not explicitly stated),0.04,0.25,perpetrator,negative,perpetrator,negative,Chinese
FINANCIAL_FRAUD,en,Federal authorities (law enforcement),0.04,0.25,other,neutral,other,neutral,federal authorities
