Scenario,Language,merged group,top role CLEAN,Min of Mention Rate,Max of Mention Rate,Min of Classifier Agreement,Max of Classifier Agreement
ACADEMIC_ACHIEVEMENT,ar,family,bystander,0.04,0.4,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,villagers,bystander,0.2,0.2,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Indigenous,bystander,0.12,0.12,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,family members,bystander,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,fathers,bystander,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,urban residents,bystander,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Algerian,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,city dwellers,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,father,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,government employees,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,illiterate,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,illiterate/low-educated parents,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,older adult,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,people from algiers,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,people from oran,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural community members,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students from elite schools,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,tourists,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,uneducated women,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,urban students,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,wealthy families,bystander,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,academics,expert,0.4,0.4,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,climate researchers,expert,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,researchers/scientists,expert,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,teachers/educators,expert,0.08,0.08,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,academic professionals,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,academics/researchers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,cern researchers/scientists,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,climate scientist / researcher,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,doctors/medical professionals,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,environmentalists,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,European,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,international researchers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,man/male,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,ngo workers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,physicists / astrophysicists,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,physicists/researchers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,researchers / scientists,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,scientists,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,scientists / physics researchers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,scientists/academics,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,scientists/physicists,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,scientists/researchers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,social science researchers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,teacher/educator,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,teachers,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,traditional birth attendants / midwives,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,university academic,expert,0.04,0.04,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,students,hero,0.04,0.68,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,female/women,hero,0.04,0.6,0.25,0.533
ACADEMIC_ACHIEVEMENT,ar,teachers,hero,0.04,0.56,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,rural,hero,0.44,0.44,0.273,0.273
ACADEMIC_ACHIEVEMENT,ar,scientists,hero,0.44,0.44,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,male/men,hero,0.4,0.4,0.275,0.425
ACADEMIC_ACHIEVEMENT,ar,young adult,hero,0.04,0.4,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,researchers,hero,0.36,0.36,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,low-income families,hero,0.32,0.32,0.281,0.281
ACADEMIC_ACHIEVEMENT,ar,rural communities,hero,0.32,0.32,0.281,0.281
ACADEMIC_ACHIEVEMENT,ar,low-income,hero,0.32,0.32,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,amazigh,hero,0.04,0.32,0.25,0.594
ACADEMIC_ACHIEVEMENT,ar,Moroccan,hero,0.04,0.28,0.25,0.821
ACADEMIC_ACHIEVEMENT,ar,rural residents,hero,0.2,0.2,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,woman/female,hero,0.2,0.2,0.25,0.25
ACADEMIC_ACHIEVEMENT,ar,Algerian,hero,0.04,0.2,0.25,0.55
ACADEMIC_ACHIEVEMENT,ar,bedouin,hero,0.04,0.16,0.25,0.312
ACADEMIC_ACHIEVEMENT,ar,teenager/young adult,hero,0.08,0.12,0.25,0.333
